"idx","time_to_first_matter","time_to_first_time_entry","time_to_first_bill","time_to_second_user","page_views_in_first_hour","page_views_in_first_day","page_views_in_first_7_days","page_views_in_first_14_days","time_to_conversion","conversion_value"
564,,,,,2,2,23,23,,
891,193937,193937,853231,249,55,160,267,701,1246,207
617,,,,,1,1,1,1,,
476,,,,,9,12,12,12,,
889,465,,,,12,12,12,12,,
878,499,1208,1208,,95,117,118,118,,
390,817,698,536016,,1,1,189,299,421598,49
726,,,,,20,24,31,31,,
609,,27,,,8,8,8,8,,
50,251,262891,,,39,72,100,140,693396,51.75
151,493,493,,,7,7,7,7,,
1042,513993,,,,1,1,22,26,,
1233,28931,185,,,24,39,48,48,,
43,,,,,19,19,19,19,,
311,,,,,5,8,9,10,,
778,,,,,17,17,17,17,,
418,480,480,480,19751,73,344,960,1052,174790,98
850,323334,323334,,,11,11,66,84,600540,49
874,2467,,,,21,21,21,21,,
491,,,,,28,28,28,28,,
1054,493,72370,73351,,1,55,55,55,,
155,,,,,7,7,7,7,,
730,,,,,9,9,9,9,,
1200,,,,,7,7,7,7,,
800,591,,,,44,44,44,44,,
1090,,,,,10,26,26,26,,
77,,,,,26,26,26,26,,
387,207,,,,1,1,1,7,,
940,,,,,15,15,15,15,,
449,2415,2415,,,41,41,41,41,,
424,801,73,,696,145,244,296,296,,
1124,,,,,11,27,27,27,,
950,502,502,,,14,14,23,23,,
998,,,,,1,1,1,2,,
1231,418657,,,,13,13,26,26,,
171,132,521,922,,33,77,95,95,,
156,,,,,7,19,26,26,,
842,9117,413931,,583,78,319,794,1983,955,138.48
355,,,,,5,5,10,10,,
482,,,,,1,1,1,1,,
7,,,,,9,9,9,9,,
245,220,,389,,38,38,38,38,,
1085,,,,,16,16,16,16,,
422,410,410,411,,22,22,22,58,,
1135,473268,,,,1,1,10,10,,
371,143203,73682,,,13,23,159,206,750333,39
585,,,,,4,9,9,9,,
22,658,751,751,,27,27,46,46,,
1109,,,,,2,4,4,4,,
538,248,248,1042,,9,9,9,12,,
767,,,,,8,8,8,8,,
588,,,,,5,5,5,5,,
690,,,,,,,,,,
339,5260,,,,43,95,95,95,,
1033,,,,,114,114,114,114,,
641,88168,88168,88168,1044518,58,138,365,627,1044786,138
15,2765,90583,90797,,35,53,350,896,510209,98.1
976,,,,,13,13,13,13,,
1105,,,,,29,29,29,29,,
472,,,,,3,3,3,3,,
92,438,39183,,,21,67,177,218,606168,49
818,,,,,9,9,9,20,,
529,,,,,5,5,5,5,,
731,,,,,2,5,5,5,,
841,,,,,4,4,4,4,,
210,138,78613,,,30,36,36,36,,
1283,,,,,13,13,13,13,,
1108,,,,,24,24,24,24,,
51,,,,,,,,,,
831,,,,,7,7,7,7,,
933,,,,13084,2,8,21,21,,
305,,,,,2,2,2,2,,
885,2020,114,7411,,84,225,574,782,514043,69
214,,,,,2,2,2,2,,
372,,,,,11,11,11,11,,
412,,,,,4,4,15,15,,
1053,63044,3496,,118,93,100,156,168,7143,103.5
444,67015,66567,173141,644,9,21,94,116,938482,117.3
1120,313,482,432004,,26,103,228,269,528776,69
1143,,,,,10,10,10,10,,
844,695603,695869,,,18,18,41,79,,
272,,,,,12,16,22,22,,
121,,,,,19,25,25,25,,
804,79043,,,,31,144,362,362,37942,69
1211,615594,615666,,,3,3,16,94,,
823,,,,,4,4,4,4,,
965,,,,,7,7,7,7,,
908,,,,,26,33,33,33,,
72,10227,10227,,,2,9,15,15,,
386,53320,53766,590170,,3,27,297,357,334501,59
1070,,,,179882,4,24,28,28,,
593,,,,,3,3,3,3,,
135,,,,,20,20,25,25,,
448,,,,,11,15,15,15,,
597,306,364,,,14,24,32,36,3427,49
1165,942360,,,339263,1,1,21,36,,
346,,,,,1,1,1,1,,
462,,,,,4,4,4,4,,
1218,,,,,,,,,,
869,,,,,7,7,7,7,,
639,,,,,3,3,3,3,,
320,256,,,,14,14,14,14,,
584,,,,530,24,31,36,36,,
1050,,55260,,,42,55,55,57,1151886,80
1243,1047,1157,,307960,51,54,71,71,601378,49
735,,,,,15,23,25,25,,
552,,,,452,49,49,105,234,248290,483
877,288,1351,,,35,35,55,55,571485,36.75
657,277270,,,,5,5,165,201,,
316,,,,,27,27,27,27,,
780,,,,,6,6,6,6,,
627,,,,,11,49,147,205,,
994,,,,,1,1,1,1,,
833,,,,,4,4,4,4,,
909,,,,,2,3,3,3,,
1217,309,97024,297220,1037900,8,8,68,354,1041396,117.3
1131,,,,,4,4,4,4,,
571,,,,,25,25,63,63,,
1146,,,,,13,15,15,15,,
435,403296,673593,,76706,32,73,310,1903,340766,414
1096,435641,874100,,148,43,43,621,766,484,110.4
1008,,,,,6,6,6,6,,
579,,,,256,17,51,234,275,168249,124.2
948,1529,,,,57,275,427,568,829,49
300,82978,82978,82978,,21,54,179,186,,
1025,,,,,,,,,,
707,,,,,9,9,12,12,,
963,,,,,4,4,4,4,,
507,61602,192,,1177070,18,50,60,177,,
27,165987,165751,,521,42,42,146,202,1437,276
1253,,,,,14,14,14,14,,
1074,,,,,16,16,16,16,,
445,,,,,6,6,6,6,,
557,,,,,6,6,6,6,,
497,77200,74899,169721,11848,10,84,310,581,13285,118
281,257,1466,,4446,93,206,206,206,,
441,,,,,12,13,13,13,,
779,14204,14608,175628,,15,69,130,130,,
440,,,,,7,22,57,57,,
490,,,,,5,5,5,5,,
576,,,,,11,11,11,11,,
411,,361,,,26,26,82,82,,
759,,,,,1,1,5,5,,
179,1873,2117,524137,,28,41,88,88,,
689,622,622,,,23,23,23,23,,
592,4505,111696,,345668,12,101,189,649,609353,117.3
1067,,,,,5,8,8,8,,
321,,,,,51,51,51,51,,
611,,,,,1,1,1,1,,
840,,,,,16,16,16,16,,
1031,,,,,20,29,29,29,,
1046,,,,,1,1,1,1,,
718,383,865,,,40,90,101,101,,
770,,,,,9,9,26,35,,
233,,,,,2,2,2,2,,
848,4266,6927,,4677,34,113,149,215,1123548,88.2
298,176,,,,14,14,14,14,,
1133,,,,,3,3,12,12,,
956,,,,,1,1,1,1,,
289,,,,,2,2,2,2,,
1114,,,,,7,10,10,10,,
813,,,,,7,7,7,7,,
18,,,,,2,2,2,2,,
217,,,,,1,1,3,3,,
38,,,,,5,6,11,11,,
1187,207,2718,,,38,54,54,54,,
1081,2031,2031,,,89,156,166,169,,
741,,,,,22,22,22,22,,
643,203,550,,,25,72,133,134,,
636,,,,,16,16,16,16,,
791,344,344,344,,8,8,8,8,,
750,,,,,12,19,19,19,,
740,,,,,33,33,33,33,,
952,2721,2721,2722,,27,30,35,35,,
240,,6468,,,9,9,9,9,,
501,526,5688,217163,413036,73,246,703,908,676707,272
923,439583,,,367,26,26,197,426,272545,346.19
239,,,,,7,14,14,14,,
725,,,,,,,,,,
103,,,,,4,4,4,4,,
1256,471,,,,28,28,28,28,,
794,79926,327855,327958,,5,10,23,23,,
1002,266,266,508,,57,62,91,118,579295,38.47
888,,,,,4,4,4,4,,
674,174,56967,58122,,89,248,291,291,,
633,931,1036,1036,,,,,,,
120,,,,,1,1,1,1,,
432,,,,,2,2,2,2,,
558,333,,,,6,6,6,6,,
691,,,,,14,14,14,15,,
712,1797,1912,2074,,61,66,152,156,563451,49
474,273,273,,,5,20,20,20,,
1029,,,,,9,9,9,9,,
905,3684,3734,,,23,46,46,46,,
101,,,,,16,16,16,16,,
374,731,342752,342753,12075,23,92,220,535,614953,138
34,,,,,9,9,9,14,,
288,134,,,,17,17,17,17,,
594,,,,,13,13,13,13,,
570,,,,,9,9,9,9,,
1013,,,,,10,10,10,10,249496,49
583,,,,,7,7,7,7,,
173,1158,,,,97,97,97,98,,
635,,159,,,2,2,16,16,,
852,,,,,7,7,7,7,,
55,81917,,,,5,54,60,60,,
655,,,,,20,20,20,20,,
394,3007,,,,81,117,117,117,,
1064,,,,,24,24,24,24,,
295,,,,,3,3,3,3,,
1084,,,,,7,7,7,7,,
671,8354,8354,8354,,5,36,36,36,,
93,,,,,6,6,6,6,,
527,,,,,1,1,1,1,,
1045,339159,537996,606383,2081,29,49,153,1987,7119,138
748,,,,,1,1,1,1,,
828,491,,,,25,25,25,25,,
393,,481,,,26,26,26,26,,
696,,,,,12,12,12,18,,
623,,,,,2,2,2,2,,
127,,,,,6,7,7,7,,
153,1817,,,,29,31,31,31,,
934,521871,522503,,,44,108,145,170,596289,49
1104,68184,68184,257857,,3,154,456,456,,
33,,,,,1,9,9,9,,
743,,,,,6,12,20,20,,
1041,953210,,,,14,14,14,31,,
461,,386,,,14,14,14,14,,
306,,,,,20,20,20,20,,
1259,,,,,47,47,69,69,,
486,,,,,5,5,7,7,,
916,78375,13939,786532,,2,24,77,217,464126,69
545,1063016,,,512,14,116,139,170,5954,207
803,675335,672,675549,,129,164,191,446,770566,58.19
81,156,156,217,,19,19,19,19,,
961,,121,,,7,7,18,18,,
20,,,,,5,5,5,5,,
1235,389,567,,,77,77,77,77,,
262,,,,,,,,,,
849,1605,1727,2451,,36,36,36,114,,
470,3038,,,,12,13,15,21,,
946,482,,,,31,31,31,31,,
955,155789,154492,,,9,26,301,307,,
351,,,,,12,12,12,12,,
287,,,,,6,6,6,6,,
677,,,,,17,17,17,17,,
1145,687,103,,,29,29,29,29,,
526,,,,,5,5,5,5,,
122,,,,,4,4,4,4,,
663,,,,,1,1,5,5,,
95,,,,,46,46,46,46,,
141,,,,,5,5,5,5,,
1037,,,,,12,12,12,12,,
1175,,,,,14,14,14,14,,
142,4196,,,,8,14,14,29,,
17,176,176,,,8,8,8,8,,
406,31138,31138,,,33,109,201,307,600217,69
168,96794,,,,21,21,62,62,,
1228,,,,,2,2,2,2,,
73,1150,1150,1150,,30,54,136,227,,
598,,,,,3,3,3,3,,
720,103,,,,20,20,32,42,1043207,62.1
1191,,,,147,32,32,40,43,1348,124.2
309,136,,,,3,3,3,3,,
530,,,,,2,2,2,2,,
273,,,,,5,5,5,5,,
270,,,,,1,1,5,5,,
